Model,CV Accuracy,CV Precision (Malignant),CV Recall (Malignant),CV F1 (Malignant),CV ROC-AUC
Logistic Regression,0.9736263736263737,0.9771428571428572,0.9529411764705882,0.9640480895915677,0.9957688338493291
Linear SVM,0.9648351648351647,0.9595801331285202,0.9470588235294117,0.9522790253225036,0.9942208462332299
Gradient Boosting,0.9670329670329672,0.9646306381790254,0.9470588235294117,0.9552837817600958,0.9908152734778122
Random Forest,0.964835164835165,0.9640949238933111,0.9411764705882353,0.9519447457150247,0.9889060887512902
K-Nearest Neighbors,0.964835164835165,0.9875,0.9176470588235294,0.9510417318999409,0.9871001031991744
