model,cv_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean,cv_roc_auc_mean
Logistic Regression,0.9736263736263735,0.9762374627270264,0.9529411764705882,0.9639767734396891,0.9957688338493291
Gradient Boosting,0.9648351648351647,0.9596256684491978,0.9470588235294117,0.9527383766365329,0.9951496388028896
Support Vector Machine,0.9714285714285713,0.9769459298871064,0.9470588235294116,0.9609865990024022,0.99453044375645
Random Forest,0.9692307692307693,0.9651403743315509,0.9529411764705882,0.9586275650015773,0.9912280701754386
K-Nearest Neighbors,0.9692307692307693,0.9878787878787879,0.9294117647058823,0.9573737083811711,0.9845717234262125
